customerID,churn_probability,risk_flag,risk_band,threshold_used,model_name,MonthlyCharges,tenure,Contract,PaymentMethod,InternetService,tenure_bucket,services_count,customer_value,revenue_at_risk,top_risk_reasons,explanation_method,actual_churn
9497-QCMMS,0.9525,High,Critical,0.55,logistic_regression,93.55,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1122.6,1069.28,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5192-EBGOV,0.9334,High,Critical,0.55,logistic_regression,85.7,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1028.4,959.91,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4626-GYCZP,0.9332,High,Critical,0.55,logistic_regression,93.85,7,Month-to-month,Electronic check,Fiber optic,0-12m,4,1126.2,1050.97,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2012-NWRPA,0.933,High,Critical,0.55,logistic_regression,99.55,11,Month-to-month,Electronic check,Fiber optic,0-12m,5,1194.6,1114.56,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
6521-YYTYI,0.9328,High,Critical,0.55,logistic_regression,93.3,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1119.6,1044.36,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
6630-UJZMY,0.9325,High,Critical,0.55,logistic_regression,83.25,4,Month-to-month,Electronic check,Fiber optic,0-12m,3,999.0,931.57,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
3988-RQIXO,0.9324,High,Critical,0.55,logistic_regression,91.3,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1095.6,1021.54,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9681-OXGVC,0.9324,High,Critical,0.55,logistic_regression,100.5,5,Month-to-month,Electronic check,Fiber optic,0-12m,5,1206.0,1124.47,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7450-NWRTR,0.9316,High,Critical,0.55,logistic_regression,99.45,12,Month-to-month,Electronic check,Fiber optic,0-12m,5,1193.4,1111.77,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8161-QYMTT,0.9315,High,Critical,0.55,logistic_regression,94.1,7,Month-to-month,Electronic check,Fiber optic,0-12m,4,1129.2,1051.85,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
0107-YHINA,0.9305,High,Critical,0.55,logistic_regression,99.75,1,Month-to-month,Electronic check,Fiber optic,0-12m,5,1197.0,1113.81,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5277-ZLOOR,0.9301,High,Critical,0.55,logistic_regression,85.55,2,Month-to-month,Electronic check,Fiber optic,0-12m,3,1026.6,954.84,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1273-MTETI,0.93,High,Critical,0.55,logistic_regression,88.85,4,Month-to-month,Electronic check,Fiber optic,0-12m,4,1066.2,991.57,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4750-ZRXIU,0.9291,High,Critical,0.55,logistic_regression,84.6,4,Month-to-month,Electronic check,Fiber optic,0-12m,3,1015.2,943.22,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2656-TABEH,0.929,High,Critical,0.55,logistic_regression,100.2,4,Month-to-month,Electronic check,Fiber optic,0-12m,5,1202.4,1117.03,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2865-TCHJW,0.929,High,Critical,0.55,logistic_regression,89.2,4,Month-to-month,Electronic check,Fiber optic,0-12m,4,1070.4,994.4,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0196-VULGZ,0.9281,High,Critical,0.55,logistic_regression,84.35,6,Month-to-month,Electronic check,Fiber optic,0-12m,3,1012.2,939.42,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3722-WPXTK,0.9278,High,Critical,0.55,logistic_regression,88.35,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1060.2,983.65,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3389-YGYAI,0.9278,High,Critical,0.55,logistic_regression,105.5,8,Month-to-month,Electronic check,Fiber optic,0-12m,6,1266.0,1174.59,Tenure; Services subscribed; Month-to-month contract,shap,Yes
1455-UGQVH,0.9277,High,Critical,0.55,logistic_regression,98.5,10,Month-to-month,Electronic check,Fiber optic,0-12m,5,1182.0,1096.54,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
6350-XFYGW,0.9275,High,Critical,0.55,logistic_regression,94.75,4,Month-to-month,Electronic check,Fiber optic,0-12m,4,1137.0,1054.57,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
9305-CDSKC,0.9271,High,Critical,0.55,logistic_regression,99.65,8,Month-to-month,Electronic check,Fiber optic,0-12m,5,1195.8,1108.63,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1724-BQUHA,0.9269,High,Critical,0.55,logistic_regression,89.5,5,Month-to-month,Electronic check,Fiber optic,0-12m,3,1074.0,995.49,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1455-ESIQH,0.9267,High,Critical,0.55,logistic_regression,89.1,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1069.2,990.83,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0564-JJHGS,0.9267,High,Critical,0.55,logistic_regression,95.5,9,Month-to-month,Electronic check,Fiber optic,0-12m,4,1146.0,1062.0,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7577-SWIFR,0.9265,High,Critical,0.55,logistic_regression,89.25,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1071.0,992.28,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
2725-KXXWT,0.9263,High,Critical,0.55,logistic_regression,90.75,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1089.0,1008.74,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0187-QSXOE,0.9262,High,Critical,0.55,logistic_regression,89.0,7,Month-to-month,Electronic check,Fiber optic,0-12m,3,1068.0,989.18,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
0970-ETWGE,0.9261,High,Critical,0.55,logistic_regression,89.55,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1074.6,995.19,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3489-HHPFY,0.9259,High,Critical,0.55,logistic_regression,84.05,2,Month-to-month,Electronic check,Fiber optic,0-12m,3,1008.6,933.86,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
8775-LHDJH,0.9258,High,Critical,0.55,logistic_regression,90.6,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1087.2,1006.53,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3027-ZTDHO,0.9256,High,Critical,0.55,logistic_regression,89.9,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1078.8,998.54,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3319-DWOEP,0.9256,High,Critical,0.55,logistic_regression,95.75,6,Month-to-month,Electronic check,Fiber optic,0-12m,4,1149.0,1063.51,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8414-MYSHR,0.9255,High,Critical,0.55,logistic_regression,91.4,5,Month-to-month,Electronic check,Fiber optic,0-12m,3,1096.8,1015.09,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9282-IZGQK,0.9255,High,Critical,0.55,logistic_regression,85.0,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1020.0,944.01,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2265-CYWIV,0.9253,High,Critical,0.55,logistic_regression,99.6,4,Month-to-month,Electronic check,Fiber optic,0-12m,5,1195.2,1105.92,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8603-IJWDN,0.9252,High,Critical,0.55,logistic_regression,86.6,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1039.2,961.47,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4587-VVTOX,0.9252,High,Critical,0.55,logistic_regression,105.3,6,Month-to-month,Electronic check,Fiber optic,0-12m,6,1263.6,1169.08,Tenure; Services subscribed; Month-to-month contract,shap,Yes
7943-RQCHR,0.9247,High,Critical,0.55,logistic_regression,94.75,9,Month-to-month,Electronic check,Fiber optic,0-12m,4,1137.0,1051.38,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7274-RTAPZ,0.9247,High,Critical,0.55,logistic_regression,90.55,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1086.6,1004.78,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4912-PIGUY,0.9243,High,Critical,0.55,logistic_regression,84.6,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1015.2,938.35,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
6474-FVJLC,0.9241,High,Critical,0.55,logistic_regression,86.0,2,Month-to-month,Electronic check,Fiber optic,0-12m,3,1032.0,953.67,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9134-CEQMF,0.9241,High,Critical,0.55,logistic_regression,89.5,7,Month-to-month,Electronic check,Fiber optic,0-12m,3,1074.0,992.48,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5383-MMTWC,0.924,High,Critical,0.55,logistic_regression,84.0,8,Month-to-month,Electronic check,Fiber optic,0-12m,3,1008.0,931.39,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8972-HJWNV,0.9238,High,Critical,0.55,logistic_regression,84.55,7,Month-to-month,Electronic check,Fiber optic,0-12m,3,1014.6,937.29,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4927-WWOOZ,0.9238,High,Critical,0.55,logistic_regression,91.45,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1097.4,1013.78,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
2205-YMZZJ,0.9237,High,Critical,0.55,logistic_regression,84.8,7,Month-to-month,Electronic check,Fiber optic,0-12m,3,1017.6,939.96,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0897-FEGMU,0.9233,High,Critical,0.55,logistic_regression,99.5,11,Month-to-month,Electronic check,Fiber optic,0-12m,5,1194.0,1102.42,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2982-VPSGI,0.9231,High,Critical,0.55,logistic_regression,94.0,11,Month-to-month,Electronic check,Fiber optic,0-12m,4,1128.0,1041.26,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4847-TAJYI,0.923,High,Critical,0.55,logistic_regression,89.35,6,Month-to-month,Electronic check,Fiber optic,0-12m,3,1072.2,989.64,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
6513-EECDB,0.9229,High,Critical,0.55,logistic_regression,73.55,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,882.6,814.55,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4115-NZRKS,0.9226,High,Critical,0.55,logistic_regression,89.15,7,Month-to-month,Electronic check,Fiber optic,0-12m,3,1069.8,987.0,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
3811-VBYBZ,0.9224,High,Critical,0.55,logistic_regression,99.8,7,Month-to-month,Electronic check,Fiber optic,0-12m,5,1197.6,1104.67,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4145-UQXUQ,0.9222,High,Critical,0.55,logistic_regression,92.1,8,Month-to-month,Electronic check,Fiber optic,0-12m,4,1105.2,1019.22,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1143-NMNQJ,0.9222,High,Critical,0.55,logistic_regression,85.7,2,Month-to-month,Electronic check,Fiber optic,0-12m,3,1028.4,948.39,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8593-WHYHV,0.9218,High,Critical,0.55,logistic_regression,85.3,3,Month-to-month,Electronic check,Fiber optic,0-12m,3,1023.6,943.55,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4102-OQUPX,0.9216,High,Critical,0.55,logistic_regression,74.4,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,892.8,822.8,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0259-GBZSH,0.9215,High,Critical,0.55,logistic_regression,85.65,2,Month-to-month,Electronic check,Fiber optic,0-12m,3,1027.8,947.12,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2034-GDRCN,0.9214,High,Critical,0.55,logistic_regression,90.4,2,Month-to-month,Electronic check,Fiber optic,0-12m,3,1084.8,999.53,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3902-FOIGH,0.9213,High,Critical,0.55,logistic_regression,101.35,12,Month-to-month,Electronic check,Fiber optic,0-12m,5,1216.2,1120.49,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0021-IKXGC,0.921,High,Critical,0.55,logistic_regression,72.1,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,865.2,796.85,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
0754-UKWQP,0.9209,High,Critical,0.55,logistic_regression,95.85,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1150.2,1059.22,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8473-VUVJN,0.9208,High,Critical,0.55,logistic_regression,73.65,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,883.8,813.8,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9965-YOKZB,0.9207,High,Critical,0.55,logistic_regression,83.85,9,Month-to-month,Electronic check,Fiber optic,0-12m,3,1006.2,926.41,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9611-CTWIH,0.9207,High,Critical,0.55,logistic_regression,89.45,3,Month-to-month,Electronic check,Fiber optic,0-12m,3,1073.4,988.28,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2968-SSGAA,0.9207,High,Critical,0.55,logistic_regression,100.6,10,Month-to-month,Electronic check,Fiber optic,0-12m,5,1207.2,1111.47,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7228-OMTPN,0.9198,High,Critical,0.55,logistic_regression,88.45,4,Month-to-month,Electronic check,Fiber optic,0-12m,3,1061.4,976.28,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5519-NPHVG,0.9197,High,Critical,0.55,logistic_regression,94.2,12,Month-to-month,Electronic check,Fiber optic,0-12m,4,1130.4,1039.63,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2642-DTVCO,0.9197,High,Critical,0.55,logistic_regression,85.05,9,Month-to-month,Electronic check,Fiber optic,0-12m,3,1020.6,938.65,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3551-HUAZH,0.9196,High,Critical,0.55,logistic_regression,74.4,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,892.8,821.02,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0723-DRCLG,0.9195,High,Critical,0.55,logistic_regression,74.45,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,893.4,821.48,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0697-ZMSWS,0.9194,High,Critical,0.55,logistic_regression,85.65,4,Month-to-month,Electronic check,Fiber optic,0-12m,3,1027.8,944.96,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3727-RJMEO,0.9193,High,Critical,0.55,logistic_regression,82.85,6,Month-to-month,Electronic check,Fiber optic,0-12m,3,994.2,913.97,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5240-IJOQT,0.9192,High,Critical,0.55,logistic_regression,74.7,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,896.4,823.97,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8337-UPOAQ,0.919,High,Critical,0.55,logistic_regression,89.8,10,Month-to-month,Electronic check,Fiber optic,0-12m,4,1077.6,990.31,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4078-SAYYN,0.9187,High,Critical,0.55,logistic_regression,100.75,11,Month-to-month,Electronic check,Fiber optic,0-12m,5,1209.0,1110.71,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7526-BEZQB,0.9184,High,Critical,0.55,logistic_regression,96.05,12,Month-to-month,Electronic check,Fiber optic,0-12m,4,1152.6,1058.55,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8058-JMEQO,0.9182,High,Critical,0.55,logistic_regression,84.45,9,Month-to-month,Electronic check,Fiber optic,0-12m,3,1013.4,930.5,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4988-IQIGL,0.9182,High,Critical,0.55,logistic_regression,75.35,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,904.2,830.24,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3318-NMQXL,0.9181,High,Critical,0.55,logistic_regression,92.0,3,Month-to-month,Electronic check,Fiber optic,0-12m,3,1104.0,1013.58,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
8580-AECUZ,0.918,High,Critical,0.55,logistic_regression,79.1,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,949.2,871.37,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1833-VGRUM,0.9178,High,Critical,0.55,logistic_regression,74.2,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,890.4,817.21,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9546-CQJSU,0.9177,High,Critical,0.55,logistic_regression,91.4,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1096.8,1006.53,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
6894-LFHLY,0.9176,High,Critical,0.55,logistic_regression,75.75,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,909.0,834.1,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1875-QIVME,0.9175,High,Critical,0.55,logistic_regression,104.4,2,Month-to-month,Electronic check,Fiber optic,0-12m,6,1252.8,1149.44,Tenure; Services subscribed; Month-to-month contract,shap,Yes
4192-GORJT,0.9173,High,Critical,0.55,logistic_regression,94.45,5,Month-to-month,Electronic check,Fiber optic,0-12m,4,1133.4,1039.67,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7398-SKNQZ,0.9173,High,Critical,0.55,logistic_regression,94.9,3,Month-to-month,Electronic check,Fiber optic,0-12m,4,1138.8,1044.62,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
1624-NALOJ,0.9171,High,Critical,0.55,logistic_regression,89.8,5,Month-to-month,Electronic check,Fiber optic,0-12m,4,1077.6,988.27,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7779-LGOVN,0.9167,High,Critical,0.55,logistic_regression,86.65,10,Month-to-month,Electronic check,Fiber optic,0-12m,3,1039.8,953.18,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9248-OJYKK,0.9165,High,Critical,0.55,logistic_regression,76.45,1,Month-to-month,Electronic check,Fiber optic,0-12m,2,917.4,840.8,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
6108-OQZDQ,0.9164,High,Critical,0.55,logistic_regression,97.95,4,Month-to-month,Electronic check,Fiber optic,0-12m,5,1175.4,1077.14,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1304-NECVQ,0.9163,High,Critical,0.55,logistic_regression,78.55,2,Month-to-month,Electronic check,Fiber optic,0-12m,3,942.6,863.7,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3643-AHCFP,0.916,High,Critical,0.55,logistic_regression,95.6,7,Month-to-month,Bank transfer (automatic),Fiber optic,0-12m,4,1147.2,1050.84,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7488-MXJIV,0.9159,High,Critical,0.55,logistic_regression,85.65,4,Month-to-month,Electronic check,Fiber optic,0-12m,3,1027.8,941.36,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
